,game_id,year_id,fran_id,opp_fran,game_location,is_playoffs,pts,opp_pts,game_result,forecast,point_diff
0,194611010TRH,1947,Knicks,Huskies,A,0,68,66,W,0.35993499,2
1,194611020CHS,1947,Knicks,Stags,A,0,47,63,L,0.36889875,-16
2,194611020PRO,1947,Celtics,Steamrollers,A,0,53,59,L,0.35993499,-6
3,194611050BOS,1947,Celtics,Stags,H,0,55,57,L,0.62020409,-2
4,194611070STB,1947,Knicks,Bombers,A,0,68,63,W,0.33928972,5
5,194611090DTF,1947,Celtics,Falcons,A,0,46,69,L,0.38681835,-23
6,194611110NYK,1947,Knicks,Stags,H,0,68,78,L,0.62947917,-10
7,194611130CHS,1947,Celtics,Stags,A,0,61,71,L,0.29173952,-10
8,194611140STB,1947,Celtics,Bombers,A,0,62,64,L,0.3138904,-2
9,194611160BOS,1947,Celtics,Huskies,H,0,53,49,W,0.60270238,4
10,194611160NYK,1947,Knicks,Ironmen,H,0,64,62,W,0.66055697,2
11,194611180NYK,1947,Knicks,Falcons,H,0,61,57,W,0.64575911,4
12,194611200NYK,1947,Knicks,Stags,H,0,72,69,W,0.60262144,3
13,194611210BOS,1947,Celtics,Bombers,H,0,53,65,L,0.57506841,-12
14,194611220TRH,1947,Celtics,Huskies,A,0,82,83,L,0.33348578,-1
15,194611230DTF,1947,Celtics,Falcons,A,0,46,54,L,0.32552594,-8
16,194611230NYK,1947,Knicks,Rebels,H,0,82,76,W,0.62753516,6
17,194611250BOS,1947,Celtics,Steamrollers,H,0,59,71,L,0.618788,-12
18,194611250PIT,1947,Knicks,Ironmen,A,0,62,46,W,0.39647746,16
19,194611260GSW,1947,Celtics,Warriors,A,0,54,66,L,0.28463364,-12
20,194611270NYK,1947,Knicks,Bombers,H,0,67,60,W,0.62086874,7
21,194611280BOS,1947,Celtics,Ironmen,H,0,59,55,W,0.58570379,4
22,194611280PRO,1947,Knicks,Steamrollers,A,0,60,58,W,0.43209857,2
23,194611300NYK,1947,Knicks,Warriors,H,0,64,60,W,0.70957392,4
24,194612010CHS,1947,Celtics,Stags,A,0,56,66,L,0.27860653,-10
25,194612020PIT,1947,Celtics,Ironmen,A,0,46,44,W,0.31987137,2
26,194612040NYK,1947,Knicks,Falcons,H,0,70,57,W,0.66097057,13
27,194612050BOS,1947,Celtics,Falcons,H,0,61,65,L,0.52403867,-4
28,194612050GSW,1947,Knicks,Warriors,A,0,51,62,L,0.44726545,-11
29,194612070BOS,1947,Celtics,Knicks,H,0,65,90,L,0.48328897,-25
30,194612070BOS,1947,Knicks,Celtics,A,0,90,65,W,0.516711,25
31,194612080NYK,1947,Celtics,Knicks,A,0,44,62,L,0.19316971,-18
32,194612080NYK,1947,Knicks,Celtics,H,0,62,44,W,0.80683029,18
33,194612110NYK,1947,Knicks,Steamrollers,H,0,83,68,W,0.76815975,15
34,194612120BOS,1947,Celtics,Falcons,H,0,73,66,W,0.47570527,7
35,194612140BOS,1947,Celtics,Warriors,H,0,77,65,W,0.51087546,12
36,194612150CLR,1947,Knicks,Rebels,A,0,52,70,L,0.46016461,-18
37,194612180NYK,1947,Knicks,Rebels,H,0,53,56,L,0.68877327,-3
38,194612190BOS,1947,Celtics,Bombers,H,0,74,76,L,0.52357405,-2
39,194612200TRH,1947,Knicks,Huskies,A,0,70,74,L,0.51550663,-4
40,194612210PRO,1947,Knicks,Steamrollers,A,0,61,63,L,0.46005797,-2
41,194612220STB,1947,Celtics,Bombers,A,0,53,65,L,0.24676281,-12
42,194612230PIT,1947,Celtics,Ironmen,A,0,54,64,L,0.33450115,-10
43,194612270BOS,1947,Celtics,Warriors,H,0,60,63,L,0.4977932,-3
44,194612280PRO,1947,Celtics,Steamrollers,A,0,68,80,L,0.28593284,-12
45,194612280WSC,1947,Knicks,Capitols,A,0,49,70,L,0.24124289,-21
46,194612300BOS,1947,Celtics,Capitols,H,0,60,70,L,0.30391434,-10
47,194701030TRH,1947,Celtics,Huskies,A,0,58,53,W,0.28170633,5
48,194701040DTF,1947,Knicks,Falcons,A,0,62,50,W,0.41622138,12
49,194701050STB,1947,Knicks,Bombers,A,0,59,57,W,0.32801723,2
50,194701060BOS,1947,Celtics,Rebels,H,0,53,64,L,0.51673841,-11
51,194701080NYK,1947,Knicks,Huskies,H,0,63,76,L,0.75629228,-13
52,194701100BOS,1947,Knicks,Celtics,A,0,62,66,L,0.55132949,-4
53,194701100BOS,1947,Celtics,Knicks,H,0,66,62,W,0.44867054,4
54,194701110PRO,1947,Celtics,Steamrollers,A,0,73,72,W,0.26190996,1
55,194701130PIT,1947,Knicks,Ironmen,A,0,53,50,W,0.51282293,3
56,194701150NYK,1947,Knicks,Capitols,H,0,63,65,L,0.46855369,-2
57,194701160BOS,1947,Celtics,Capitols,H,0,47,38,W,0.30119461,9
58,194701180NYK,1947,Knicks,Celtics,H,0,45,58,L,0.75976527,-13
59,194701180NYK,1947,Celtics,Knicks,A,0,58,45,W,0.24023473,13
60,194701190CLR,1947,Knicks,Rebels,A,0,72,79,L,0.37115139,-7
61,194701200BOS,1947,Celtics,Stags,H,0,54,81,L,0.50988382,-27
